[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 5.897e-05, layer transfer time: 5.1129e-05, total time: 0.000110099, layer compressed size: 424 
[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.9083e-05, layer transfer time: 4.1633e-05, total time: 7.071599999999999e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.01161474, layer transfer time: 0.068325679, total time: 0.079940419, layer compressed size: 26704806 
[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6471e-05, layer transfer time: 4.9376e-05, total time: 7.584700000000001e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.6437e-05, layer transfer time: 7.9648e-05, total time: 0.00011608499999999998, layer compressed size: 424 
[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.3406e-05, layer transfer time: 4.9551e-05, total time: 7.2957e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.0351e-05, layer transfer time: 5.5767e-05, total time: 8.6118e-05, layer compressed size: 2298 
[j]2026/02/12 11:03:43 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.007836366, layer transfer time: 0.050529169, total time: 0.058365534999999996, layer compressed size: 26704806 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6423e-05, layer transfer time: 6.9219e-05, total time: 9.5642e-05, layer compressed size: 424 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6067e-05, layer transfer time: 5.5581e-05, total time: 8.1648e-05, layer compressed size: 2297 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.9039e-05, layer transfer time: 4.5911e-05, total time: 7.495e-05, layer compressed size: 424 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.036484998, layer transfer time: 0.080407355, total time: 0.116892353, layer compressed size: 29534702 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.5537e-05, layer transfer time: 6.1751e-05, total time: 9.728800000000001e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.2019e-05, layer transfer time: 5.7639e-05, total time: 8.9658e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5576e-05, layer transfer time: 4.4889e-05, total time: 7.0465e-05, layer compressed size: 2297 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000388367, layer transfer time: 5.8966e-05, total time: 0.00044733299999999995, layer compressed size: 424 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.1505e-05, layer transfer time: 6.93e-05, total time: 0.00010080500000000001, layer compressed size: 1133 
[j]2026/02/12 11:03:44 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.016026922, layer transfer time: 0.053210322, total time: 0.069237244, layer compressed size: 29533050 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6656e-05, layer transfer time: 4.6607e-05, total time: 7.3263e-05, layer compressed size: 424 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.526e-05, layer transfer time: 8.3196e-05, total time: 0.00010845599999999999, layer compressed size: 1133 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.021914362, layer transfer time: 0.055148802, total time: 0.07706316399999999, layer compressed size: 27288529 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.4918e-05, layer transfer time: 7.3137e-05, total time: 0.000108055, layer compressed size: 1133 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8223e-05, layer transfer time: 4.338e-05, total time: 7.1603e-05, layer compressed size: 424 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.019654782, layer transfer time: 0.069146083, total time: 0.08880086499999999, layer compressed size: 26825631 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5743e-05, layer transfer time: 6.3856e-05, total time: 8.959900000000001e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.2595e-05, layer transfer time: 4.7343e-05, total time: 6.9938e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.007907398, layer transfer time: 0.056772871, total time: 0.064680269, layer compressed size: 29536501 
[j]2026/02/12 11:03:45 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.9564e-05, layer transfer time: 6.2317e-05, total time: 0.00010188100000000001, layer compressed size: 2298 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.5621e-05, layer transfer time: 8.7768e-05, total time: 0.000123389, layer compressed size: 6688 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.017942502, layer transfer time: 0.059345848, total time: 0.07728835, layer compressed size: 29536667 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 4.3085e-05, layer transfer time: 5.2804e-05, total time: 9.588899999999999e-05, layer compressed size: 2297 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8269e-05, layer transfer time: 4.5106e-05, total time: 7.3375e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.017450431, layer transfer time: 0.09715263, total time: 0.114603061, layer compressed size: 26880446 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.1011e-05, layer transfer time: 5.8974e-05, total time: 8.9985e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6312e-05, layer transfer time: 4.1822e-05, total time: 6.8134e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.0178e-05, layer transfer time: 4.6835e-05, total time: 7.7013e-05, layer compressed size: 424 
[j]2026/02/12 11:03:46 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.9059e-05, layer transfer time: 5.7356e-05, total time: 8.6415e-05, layer compressed size: 424 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6553e-05, layer transfer time: 4.5659e-05, total time: 7.221199999999999e-05, layer compressed size: 424 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8435e-05, layer transfer time: 5.2562e-05, total time: 8.0997e-05, layer compressed size: 424 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.020523386, layer transfer time: 0.079051573, total time: 0.099574959, layer compressed size: 29533422 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5535e-05, layer transfer time: 5.3054e-05, total time: 7.8589e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5915e-05, layer transfer time: 5.2151e-05, total time: 7.806600000000001e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.0624e-05, layer transfer time: 9.1019e-05, total time: 0.000121643, layer compressed size: 6688 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.0113e-05, layer transfer time: 5.189e-05, total time: 8.200300000000001e-05, layer compressed size: 424 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.4456e-05, layer transfer time: 4.5153e-05, total time: 6.9609e-05, layer compressed size: 2297 
[j]2026/02/12 11:03:47 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8068e-05, layer transfer time: 4.5488e-05, total time: 7.3556e-05, layer compressed size: 1334 
[j]2026/02/12 11:03:48 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.021190292, layer transfer time: 0.054759984, total time: 0.075950276, layer compressed size: 29536667 
[j]2026/02/12 11:03:48 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.007692566, layer transfer time: 0.051181015, total time: 0.058873581, layer compressed size: 25691281 
[j]2026/02/12 11:03:48 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.008998635, layer transfer time: 0.058338004, total time: 0.067336639, layer compressed size: 26825187 
[j]2026/02/12 11:03:48 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7978e-05, layer transfer time: 4.8015e-05, total time: 7.5993e-05, layer compressed size: 424 
[j]2026/02/12 11:03:48 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6085e-05, layer transfer time: 4.3943e-05, total time: 7.0028e-05, layer compressed size: 424 
[j]2026/02/12 11:03:48 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5993e-05, layer transfer time: 4.532e-05, total time: 7.1313e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:48 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000224644, layer transfer time: 5.85e-05, total time: 0.000283144, layer compressed size: 1133 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.019800941, layer transfer time: 0.096573162, total time: 0.116374103, layer compressed size: 27077045 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.4339e-05, layer transfer time: 4.1185e-05, total time: 6.552399999999999e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8813e-05, layer transfer time: 5.1123e-05, total time: 7.9936e-05, layer compressed size: 2298 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.014468183, layer transfer time: 0.050738094, total time: 0.06520627699999999, layer compressed size: 26704595 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8942e-05, layer transfer time: 4.5378e-05, total time: 7.431999999999999e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.758e-05, layer transfer time: 6.0872e-05, total time: 8.8452e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.7896e-05, layer transfer time: 5.0539e-05, total time: 8.843499999999999e-05, layer compressed size: 424 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 5.6989e-05, layer transfer time: 4.3222e-05, total time: 0.000100211, layer compressed size: 424 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.6286e-05, layer transfer time: 6.2972e-05, total time: 9.9258e-05, layer compressed size: 2297 
[j]2026/02/12 11:03:49 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.0009e-05, layer transfer time: 8.157e-05, total time: 0.00011157900000000001, layer compressed size: 2299 
[j]2026/02/12 11:03:50 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.027048355, layer transfer time: 0.044466846, total time: 0.071515201, layer compressed size: 26695202 
[j]2026/02/12 11:03:50 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 4.3889e-05, layer transfer time: 5.7264e-05, total time: 0.000101153, layer compressed size: 2299 
[j]2026/02/12 11:03:50 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8135e-05, layer transfer time: 8.2534e-05, total time: 0.00011066900000000001, layer compressed size: 424 
[j]2026/02/12 11:03:50 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8321e-05, layer transfer time: 4.2003e-05, total time: 7.0324e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:50 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6228e-05, layer transfer time: 4.5769e-05, total time: 7.1997e-05, layer compressed size: 424 
[j]2026/02/12 11:03:50 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.012551347, layer transfer time: 0.041311011, total time: 0.053862358, layer compressed size: 26836883 
[j]2026/02/12 11:03:50 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.022433338, layer transfer time: 0.062126758, total time: 0.084560096, layer compressed size: 27234148 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.055770204, layer transfer time: 0.064368303, total time: 0.120138507, layer compressed size: 29538209 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8281e-05, layer transfer time: 7.8988e-05, total time: 0.00010726899999999999, layer compressed size: 424 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8875e-05, layer transfer time: 5.666e-05, total time: 8.5535e-05, layer compressed size: 2297 
