[j]2026/02/26 06:29:01 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.011464161, layer transfer time: 0.057546972, total time: 0.069011133, layer compressed size: 28227259 
[j]2026/02/26 06:29:01 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.306038925, layer transfer time: 5.4197e-05, total time: 0.306093122, layer compressed size: 625 
[j]2026/02/26 06:29:01 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.016967416, layer transfer time: 0.092075529, total time: 0.109042945, layer compressed size: 43916545 
[j]2026/02/26 06:29:01 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.39256218, layer transfer time: 5.1188e-05, total time: 0.39261336799999996, layer compressed size: 393 
[j]2026/02/26 06:29:01 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.428730594, layer transfer time: 0.00022684, total time: 0.428957434, layer compressed size: 950 
[j]2026/02/26 06:29:02 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.352662921, layer transfer time: 4.7768e-05, total time: 0.352710689, layer compressed size: 1213 
[j]2026/02/26 06:29:02 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.365341208, layer transfer time: 5.2601e-05, total time: 0.36539380899999996, layer compressed size: 1410 
[j]2026/02/26 06:29:02 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.010411586, layer transfer time: 0.061772737, total time: 0.072184323, layer compressed size: 28230129 
[j]2026/02/26 06:29:02 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.025102094, layer transfer time: 0.1294428, total time: 0.154544894, layer compressed size: 44151007 
[j]2026/02/26 06:29:02 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.377801202, layer transfer time: 4.949e-05, total time: 0.377850692, layer compressed size: 625 
[j]2026/02/26 06:29:03 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.342596441, layer transfer time: 7.1439e-05, total time: 0.34266788, layer compressed size: 950 
[j]2026/02/26 06:29:03 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.378221778, layer transfer time: 9.2812e-05, total time: 0.37831459, layer compressed size: 1213 
[j]2026/02/26 06:29:03 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.421139157, layer transfer time: 5.3893e-05, total time: 0.42119305, layer compressed size: 393 
[j]2026/02/26 06:29:03 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.426025832, layer transfer time: 0.000794413, total time: 0.426820245, layer compressed size: 1410 
[j]2026/02/26 06:29:03 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.011118346, layer transfer time: 0.083767812, total time: 0.094886158, layer compressed size: 29778632 
[j]2026/02/26 06:29:04 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.006219355, layer transfer time: 0.084263415, total time: 0.09048276999999999, layer compressed size: 33139958 
[j]2026/02/26 06:29:05 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.386721438, layer transfer time: 5.6244e-05, total time: 0.38677768199999996, layer compressed size: 1213 
[j]2026/02/26 06:29:05 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.305856979, layer transfer time: 5.2408e-05, total time: 0.305909387, layer compressed size: 625 
[j]2026/02/26 06:29:05 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.402028105, layer transfer time: 5.0884e-05, total time: 0.402078989, layer compressed size: 951 
[j]2026/02/26 06:29:05 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.428012244, layer transfer time: 5.294e-05, total time: 0.428065184, layer compressed size: 393 
[j]2026/02/26 06:29:06 blobserver.go:1341: reqtype: GET, cachehit: true, mem time: 2.856e-06, ssd time: 0, layer transfer time: 4.7769e-05, total time: 5.0625000000000004e-05, layer compressed size: 950 
[j]2026/02/26 06:29:06 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.376562271, layer transfer time: 0.000172631, total time: 0.376734902, layer compressed size: 1410 
[j]2026/02/26 06:29:06 blobserver.go:1341: reqtype: GET, cachehit: true, mem time: 1.7479e-05, ssd time: 0, layer transfer time: 4.497e-05, total time: 6.2449e-05, layer compressed size: 625 
[j]2026/02/26 06:29:06 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.006718854, layer transfer time: 0.058309347, total time: 0.065028201, layer compressed size: 28227259 
[j]2026/02/26 06:29:06 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.009179625, layer transfer time: 0.089661009, total time: 0.098840634, layer compressed size: 43916545 
[j]2026/02/26 06:29:07 blobserver.go:1341: reqtype: GET, cachehit: true, mem time: 2.843e-06, ssd time: 0, layer transfer time: 5.2066e-05, total time: 5.4909e-05, layer compressed size: 393 
[j]2026/02/26 06:29:07 blobserver.go:1341: reqtype: GET, cachehit: true, mem time: 4.909e-06, ssd time: 0, layer transfer time: 5.0877e-05, total time: 5.5786e-05, layer compressed size: 1213 
[j]2026/02/26 06:29:07 blobserver.go:1341: reqtype: GET, cachehit: true, mem time: 3.343e-06, ssd time: 0, layer transfer time: 4.495e-05, total time: 4.8293e-05, layer compressed size: 1410 
[j]2026/02/26 06:29:07 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.008726776, layer transfer time: 0.093393378, total time: 0.102120154, layer compressed size: 44151007 
[j]2026/02/26 06:29:07 blobserver.go:1341: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.012771218, layer transfer time: 0.069744665, total time: 0.082515883, layer compressed size: 28230129 
[j]2026/02/26 06:29:08 blobserver.go:1341: reqtype: GET, cachehit: true, mem time: 4.196e-06, ssd time: 0, layer transfer time: 5.2804e-05, total time: 5.6999999999999996e-05, layer compressed size: 1410 
[j]2026/02/26 06:29:08 blobserver.go:1341: reqtype: GET, cachehit: true, mem time: 2.929e-05, ssd time: 0, layer transfer time: 8.3431e-05, total time: 0.000112721, layer compressed size: 625 
