[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.106e-06, ssd time: 0, layer transfer time: 7.7716e-05, total time: 8.082199999999999e-05, layer compressed size: 950 
[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.359e-06, ssd time: 0, layer transfer time: 4.2435e-05, total time: 4.4794000000000005e-05, layer compressed size: 625 
[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 4.004e-06, ssd time: 0, layer transfer time: 4.634e-05, total time: 5.0344e-05, layer compressed size: 1213 
[j]2026/02/25 09:46:38 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.888e-06, ssd time: 0, layer transfer time: 4.9829e-05, total time: 5.3717e-05, layer compressed size: 393 
[j]2026/02/25 09:46:38 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.674e-06, ssd time: 0, layer transfer time: 4.6539e-05, total time: 4.9213000000000005e-05, layer compressed size: 625 
[j]2026/02/25 09:46:38 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.927e-06, ssd time: 0, layer transfer time: 4.9031e-05, total time: 5.1958e-05, layer compressed size: 951 
[j]2026/02/25 09:46:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.102933933, layer transfer time: 0.148370453, total time: 0.25130438600000005, layer compressed size: 33139958 
[j]2026/02/25 09:46:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.009814816, layer transfer time: 0.125509733, total time: 0.13532454900000002, layer compressed size: 29778632 
[j]2026/02/25 09:46:39 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.802e-06, ssd time: 0, layer transfer time: 4.9253e-05, total time: 5.2054999999999995e-05, layer compressed size: 1410 
[j]2026/02/25 09:46:39 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.561e-06, ssd time: 0, layer transfer time: 4.5651e-05, total time: 4.8212e-05, layer compressed size: 1213 
[j]2026/02/25 11:47:38 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.285123591, layer transfer time: 5.3567e-05, total time: 0.285177158, layer compressed size: 950 
[j]2026/02/25 11:47:38 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.053376645, layer transfer time: 0.124078277, total time: 0.17745492200000001, layer compressed size: 43916545 
[j]2026/02/25 11:47:38 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.076048549, layer transfer time: 0.068207961, total time: 0.14425651, layer compressed size: 28227259 
[j]2026/02/25 11:47:38 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.174612083, layer transfer time: 4.7888e-05, total time: 0.174659971, layer compressed size: 6 
[j]2026/02/25 11:47:38 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.200519667, layer transfer time: 4.7152e-05, total time: 0.200566819, layer compressed size: 6 
[j]2026/02/25 11:47:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.2397748, layer transfer time: 4.8035e-05, total time: 0.239822835, layer compressed size: 1410 
[j]2026/02/25 11:47:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.264516603, layer transfer time: 5.0252e-05, total time: 0.264566855, layer compressed size: 1213 
[j]2026/02/25 11:47:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.040396599, layer transfer time: 0.094310803, total time: 0.134707402, layer compressed size: 44151007 
[j]2026/02/25 11:47:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.006794322, layer transfer time: 0.076326403, total time: 0.083120725, layer compressed size: 28230129 
[j]2026/02/25 11:47:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.187451033, layer transfer time: 5.2115e-05, total time: 0.18750314799999998, layer compressed size: 6 
[j]2026/02/25 11:47:40 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.160607864, layer transfer time: 5.0538e-05, total time: 0.16065840199999998, layer compressed size: 6 
[j]2026/02/25 11:47:40 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.16369703, layer transfer time: 4.9525e-05, total time: 0.163746555, layer compressed size: 6 
[j]2026/02/25 11:47:40 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.294538161, layer transfer time: 5.7265e-05, total time: 0.294595426, layer compressed size: 1213 
[j]2026/02/25 11:47:40 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.278907654, layer transfer time: 5.5214e-05, total time: 0.27896286800000003, layer compressed size: 950 
[j]2026/02/25 11:47:40 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.006671588, layer transfer time: 0.091921404, total time: 0.098592992, layer compressed size: 29778632 
[j]2026/02/25 11:47:41 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.125560739, layer transfer time: 4.6383e-05, total time: 0.12560712200000002, layer compressed size: 6 
